,test #1,test #2,test #3,test #4,test #5,test #6,test #7,test #8,test #9,test #10,
data size 1000,115.6,81.9,123.1,80,86.4,103.9,75.1,117.5,109.5,57.5,
data size 2000,135.2,133.1,132.2,132.4,170.8,132.6,132.1,131.3,131.8,131.7,
data size 3000,274.2,239.1,204.3,203.6,202.9,248.1,206.7,203.9,204,264.2,
data size 4000,401.4,599.5,558.3,462.8,352.9,453.1,408,433.7,390.3,277.8,
data size 5000,500.8,636,487.4,440.1,388.5,348.9,347.8,443.2,393.2,352,
data size 6000,424.6,755.9,915.3,857.8,424.9,562,423.9,428,556.8,426.1,
data size 7000,524.3,503.5,548.2,536.7,500.5,503.1,501.4,556.7,712.6,785.2,
data size 8000,933.6,1302.1,680.4,617.9,575.9,578,578.6,620.9,577.9,577.6,
data size 9000,653,871.2,688.7,651,779.3,767.3,693.1,1086.4,684,708.9,
data size 10000,735.5,731.5,732.1,734.8,731.6,733,729.5,730.2,734.6,733.4,
data size 11000,815.5,1298.7,875.1,811.2,811.9,810.7,812.5,814,811.9,810.5,
data size 12000,885.2,891.4,889.1,890.2,889,887.2,890,886.1,948.1,911.3,
data size 13000,975.6,971.8,969.8,1044.2,967.1,970.1,1117.3,1173.5,1097.7,1042.5,
data size 14000,1098.4,1132.7,1057.5,1152.5,1353.7,1327.3,1096,1221.2,1312.5,1051.9,
data size 15000,1173.7,1165.5,1239.3,1190,1545.2,1700,1369.8,1585,1463.4,1616.9,
data size 16000,1414.2,1209,1272.3,1317.1,1637,1532.8,1602.1,1418.7,1304.7,1513.5,
data size 17000,1370.5,1856.2,1383.5,1336.2,1338.4,1334.5,1336.2,1466.5,1523.6,1403.8,
data size 18000,1424.1,1413.6,1423,1462.4,1524.8,1489.8,1380.5,1440.2,1413.4,1364,
data size 19000,1444.5,1455,1443,1448.6,1594.5,1672.8,1578.1,1516.6,2469.8,1624.9,
data size 20000,1713.7,1593.8,1529.2,1534.9,1563.9,1533.4,1536.6,1683.2,1521.4,1609.5,
