,test #1,test #2,test #3,test #4,test #5,test #6,test #7,test #8,test #9,test #10,
data size 1000,188.6,200.2,200.3,118.4,92.6,96.2,93.1,94,93.3,94.1,
data size 2000,204.1,206.1,254.8,255.7,195,218.1,203,202.5,202,206.3,
data size 3000,318.1,296.7,276,275,273.3,468.1,366.7,370,577.4,384.9,
data size 4000,646.3,620,430.8,444.7,433.8,435.5,497.5,465.2,468.3,410.7,
data size 5000,515.8,518.8,532.5,515.6,564.1,482,518.3,640,480.2,481.1,
data size 6000,633.6,632.7,673.1,631.8,704.8,592.6,635.1,643.5,722.9,588.7,
data size 7000,698.3,828.2,755.5,812.1,924.6,698.2,1020.4,696.5,698.4,699.8,
data size 8000,810.9,894.1,914.9,1201.8,1064.6,874.8,972.8,944.2,1471.3,1386.1,
data size 9000,925.2,922.6,926.5,922.1,1047.8,1841.2,1187.1,928,965.4,923.8,
data size 10000,1075.7,1410.9,1104.3,1042.1,1037.1,1060.2,1033.6,1068.5,1221,1043.2,
data size 11000,1152.4,1150.1,1158.7,1159.3,1159.8,1156.3,1191,1159.7,1237.8,1370.4,
data size 12000,1526.2,1935.6,1665.7,1775.3,1498,1588.2,1614.5,1454.2,2052.9,1584.9,
data size 13000,1455.7,1459.6,1386.7,1392,1632,2406,2267.7,1484.4,1569.7,1387.9,
data size 14000,1865.3,1586.3,1950.5,1787.6,2915.7,2148.9,1659.1,1548.7,1510,1993.3,
data size 15000,1827.3,2048.5,2284.6,2064.1,1947.5,1632.1,1631,1634.6,2198.5,1963.4,
data size 16000,1783.2,1753.6,1751.8,1751.3,1754.8,2389.8,2651.6,2020.2,1801.4,1913.2,
data size 17000,1878.6,1872.7,2100.8,2942,2324.4,2177.3,2932.5,2770.5,3217.7,2169.1,
data size 18000,2174.9,2148,2267.2,2358.2,3088.5,2480,2690,2577.3,2454,3025.6,
data size 19000,2305.4,2190.8,2116.8,2159.8,2656.1,2889.8,2248.6,2277.8,2126.7,2182.8,
data size 20000,2450.1,2534,2851.9,2510.5,2328.8,2682.9,2382.7,2623.7,2718.3,2404.4,
