,test #1,test #2,test #3,test #4,test #5,test #6,test #7,test #8,test #9,test #10,
data size 1000,41.8,48.6,51.4,66,32.6,35.5,66.8,64,49.9,60.2,
data size 2000,124.7,123.8,135.3,97.9,77.5,77.8,61.7,54.6,49.4,84.8,
data size 3000,135.5,79.4,209.3,173.5,142.2,135.1,333.5,323.2,301.9,195.8,
data size 4000,172.7,95.3,94.9,94.7,111.2,129,179.5,191,110.3,118.9,
data size 5000,166.1,205,136.6,121.6,121.5,121.5,121.5,121.5,147.5,136.6,
data size 6000,154.4,150.8,150.3,150.7,150.4,208,218.4,216.1,237.8,231.9,
data size 7000,428.9,179.2,181.9,195.7,178.4,178.4,178.1,178.5,217.5,178.4,
data size 8000,214.5,210.6,212.1,209.7,210.2,210.1,210.1,210.9,209.5,209.5,
data size 9000,242.3,240,238.1,237.1,237.7,239.7,238.3,295.9,314.1,293.7,
data size 10000,270.3,267.2,338.2,267.9,429.4,429.3,635.7,392.1,308.9,314.9,
data size 11000,348,350.6,418.8,347,374.4,356.9,347.2,347.7,346.8,345.6,
data size 12000,726.3,613.1,499.3,388.2,380.3,383.8,383.2,383.2,386,383.6,
data size 13000,423.8,415.4,413.6,415.6,413.3,414.8,414.2,417.3,653.9,416.5,
data size 14000,723.5,444.5,444.6,446.6,445.4,764.2,607.1,445.3,450.1,448.6,
data size 15000,492.8,494.7,491.8,486.1,493.6,491.9,492.7,490,492.2,488.4,
data size 16000,535.4,528.8,530.6,528.2,531,533.9,529.2,531.9,528.7,531.6,
data size 17000,562.5,560.2,568.3,556.4,599.7,567.7,558.4,556.8,555.7,558.5,
data size 18000,635.7,600,600,594,595.5,593.1,595,595.6,592.9,595.2,
data size 19000,637.9,632.7,635.2,654.8,632.9,634.7,634.4,633,634.8,723,
data size 20000,782.9,675.6,676.8,673.7,670.9,676,675.4,674.7,679.4,696.8,
