,test #1,test #2,test #3,test #4,test #5,test #6,test #7,test #8,test #9,test #10,
data size 1000,57.8,55.6,54.8,55.8,55.9,55.2,54.9,56.5,54.7,54.8,
data size 2000,120.5,120.3,118.2,117,120.8,120.1,119,119.5,135.3,119.9,
data size 3000,186.6,185.3,186.8,186.7,186.4,207.7,208.4,207.2,208.3,211.3,
data size 4000,283.7,282.1,257.6,255.4,259.1,257.5,255.5,257.7,258.1,257,
data size 5000,334.5,692,331.3,374.9,322.3,326.6,333.2,331.9,328.3,409.7,
data size 6000,497.2,401.1,449.1,399.2,398,405,402.3,407.1,402.5,399.5,
data size 7000,496.1,476.3,482,476.7,473.7,475.2,463.6,472,475.4,479.5,
data size 8000,554.5,557.8,703.2,593.3,557.9,548.3,556.1,554.3,546.4,622.3,
data size 9000,785.7,1152.3,1064.8,1066.2,704.3,701.6,705.7,703.6,703.3,710.1,
data size 10000,840,801.8,781.5,698,711.5,1081.9,994.4,1015.6,798.3,768.6,
data size 11000,898.2,822.8,907.9,875.6,880.3,892.6,881.7,879.2,883.9,873.3,
data size 12000,966.6,1717.8,1136.6,1091.8,955.1,958.7,963.2,972.6,991.6,1028.7,
data size 13000,1055.8,1204.7,1922.4,1627.4,1244.5,1140.2,1141.6,1143.2,1182.8,1134.3,
data size 14000,1088.2,1052.7,1065.4,1058.1,1044.2,1068.5,1058.3,1036.2,1010.5,1024.8,
data size 15000,1112.2,1406,1139.5,1109.5,1114,1145.8,1628.7,1312.7,1196.3,1271.8,
data size 16000,1350.3,1761.2,2127.5,2102,1861.7,2041.9,2198.8,1404.3,1241.7,1196.5,
data size 17000,1275.2,1258.1,1270.8,1269,1266.8,1350.8,1269.8,1263.4,1594.7,2007.3,
data size 18000,1396,1332.5,1349.4,1388.9,1509.3,1519.1,2468.6,1546.7,1478,1565.1,
data size 19000,1792.3,2041.5,2715.8,2445.2,2190.2,2488.6,2631,2252.1,1707.6,1970.8,
data size 20000,2578.5,2399.1,1772.9,2367.3,2098.6,2772.4,2188,2265.5,1608.3,1629,
